rank,point_return_average,method,time,split,route_count,locations,weighting,manual_review
1,10.75,Land Horde,Day/Morning,"Zorua (25 pts, T1); Cottonee (6 pts, T4); Petilil (6 pts, T4); Venipede (6 pts, T4)",1,Unova Lostlorn Forest,,no
2,8.00,Land Horde,Night,"Cacnea (10 pts, T3); Trapinch (6 pts, T4)",2,Hoenn Mirage Tower; Hoenn Route 111,,no
3,7.33,Land Horde,Night,"Illumise (10 pts, T3); Volbeat (10 pts, T3); Oddish (2 pts, T6)",1,Hoenn Route 117,,no
4,7.00,Land Horde,Night,"Maractus (10 pts, T3); Sigilyph (10 pts, T3); Darumaka (6 pts, T4); Sandile (2 pts, T6)",1,Unova Desert Resort,,no
5,6.50,Land Horde,Day/Morning,"Zangoose (10 pts, T3); Seedot (3 pts, T5)",1,Hoenn Route 114,,no
6,6.03,Land Horde,Night,"Houndour (10 pts, T3, 43.2%); Girafarig (3 pts, T5, 56.8%)",1,Sinnoh Valor Lakefront,weighted,no
7,6.00,Land Horde,Day/Morning,"Bellsprout (6 pts, T4)",2,Kanto Route 13; Kanto Route 25,,no
8,6.00,Land Horde,Morning,"Ledyba (6 pts, T4)",1,Johto National Park,,no
9,6.00,Land Horde,ALL,"Minccino (6 pts, T4)",1,Unova Route 5,,no
10,6.00,Land Horde,ALL,"Minccino (6 pts, T4); Trubbish (6 pts, T4)",1,Unova Route 16,,no
11,6.00,Land Horde,ALL,"Ralts (10 pts, T3); Bibarel (2 pts, T6)",1,Sinnoh Route 209,,no
12,6.00,Land Horde,Night/Morning,"Seviper (10 pts, T3); Lotad (2 pts, T6)",1,Hoenn Route 114,,no
13,6.00,Land Horde,ALL,"Spinda (6 pts, T4)",1,Hoenn Route 113,,no
14,6.00,Land Horde,ALL,"Stantler (6 pts, T4)",1,Johto Route 37,,no
15,6.00,Land Horde,Day,"Sunkern (6 pts, T4)",1,Johto National Park,,no
16,6.00,Land Horde,Night,"Venonat (6 pts, T4)",2,Johto Ilex Forest; Kanto Route 24,,no
17,5.00,Land Horde,Day/Morning,"Sawk (6 pts, T4); Throh (6 pts, T4); Scraggy (3 pts, T5)",1,Unova Route 18,,no
18,4.67,Land Horde,Day/Morning,"Chatot (10 pts, T3); Shellos (2 pts, T6); Shellos East (2 pts, T6)",1,Sinnoh Route 213,,no
19,4.50,Land Horde,Day/Morning,"Magmar (6 pts, T4); Luxio (3 pts, T5)",1,Sinnoh Fuego Ironworks,,no
